,Character,Message
430,KIRK,"We're worried about her safety. Aren't you? Professor, you're a reasonable man, let me  Kirk here."
431,SULU,"Casualty, Captain. Barnhart was found dead on deck nine. Same symptoms."
432,SPOCK,"Spock cutting in, Captain. Something here, through the arches to your left."
433,KIRK,"Stand by, Mister Sulu. Spock has something."
434,SPOCK,Green.
435,KIRK,He beamed up to the ship with us.
436,SPOCK,Or something did.
437,KIRK,Enterprise from Kirk.
438,SULU,Bridge. Sulu.
439,KIRK,"You have an intruder aboard. Could be masquerading as Crewman Green. General quarters, security condition three."
440,SULU,"GQ security three, sir."
441,SULU,General quarters three. Intruder alert. GQ three. Intruder alert. General quarters three. Intruder alert. GQ three. Intruder alert.
442,UHURA,"Reporting GQ three secure, Captain. Do you require assistance there?"
443,SPOCK,Crater knows the creature. If we could take him alive.
444,KIRK,"Negative, Lieutenant, but keep locked in on us. Kirk out. Let's get him."
445,CRATER,"We don't want you here! We're happy alone! I'll kill to stay alone. You hear that, Kirk? Or you'll have to kill me. II don't care either way."
446,SPOCK,"Obviously, taking him alive is going to be difficult."
447,KIRK,Set your phaser on one quarter. I'll leave mine on stun.
448,SPOCK,Why risk your life for his?
449,KIRK,"He's not trying to kill us, he's trying to frighten us, and he's doing a pretty good job."
450,SULU,"GQ three now secured except for decks five, seven, and ten. Come in, please."
451,UHURA,He's not in supply and maintenance.
452,SULU,Go to Engineering now. Run through file photos of the crewmen there.
453,UHURA,Check.
454,SECURITY,Deck five reporting. Crewman Green is not in his quarters. No one has seen him
455,SULU,"Keep in mind if you find him, he's not Crewman Green. The Captain reports Crewman Green is dead."
456,RAND,"And he, or rather it, followed me. I thought there was something twitchy about him."
457,SULU,"He, whatever, was probably your crewman, too, Lieutenant."
458,UHURA,"He must have been it. You know, I would have remembered a crewman like him."
459,MCCOY,"The creature leading you a merry chase, Mister Sulu?"
460,SULU,The creature?
461,MCCOY,Or whatever it is that's killing the crewmen. Perhaps I can help. Fill me in.
462,KIRK,Set.
463,SPOCK,Acknowledged. Crater!
464,KIRK,"Your wife, Professor. Where is she? Your wife, Professor. Where is she?"
465,CRATER,She was the last of her kind.
466,KIRK,The last of her kind?
467,CRATER,"The last of its kind. Earth history, remember? Like the passenger pigeon or buffalo. Ooh! I feel strange."
468,KIRK,Just stunned. You'll be able to think in a minute.
469,SPOCK,The Earth buffalo. What about it?
470,CRATER,"Once there were millions of them prairies black with them. One herd covered three whole states, and when they moved they were like thunder."
471,SPOCK,And now they're gone. Is that what you mean?
472,CRATER,Like the creatures here. Once there were millions of them. Now there's one left. Nancy understood.
473,SPOCK,Always in the past tense.
474,KIRK,Where's your wife? Where is she now?
475,CRATER,Dead. Buried up on the hill. It killed her.
476,KIRK,When?
477,CRATER,"Oh, a year, or was it two?"
478,KIRK,Kirk to Enterprise.
479,SULU,Bridge to Captain. Sulu here.
480,KIRK,"It's definite, Mister Sulu. The intruder can assume any shape. Crewmen, you, myself, anyone. Do you understand?"
481,SULU,"Affirmative, Captain."
482,KIRK,Go to GQ four.
483,SULU,"General quarters four, Captain."
484,CRATER,"The creature was trying to survive. It has that right, doesn't it?"
485,KIRK,Kirk to transporter room. Three to beam up.
486,CRATER,They needed salt to stay alive. There was no more salt. It's the last one. The buffalo. There is no difference.
487,KIRK,"There's one, Professor. Your creature is killing my people."
488,SULU,"Deck five, section three. Deck five, section three. Report."
489,SECURITY,Security 3 A here. 3 B in sight.
490,UHURA,"Negative, Captain. I've checked every face on this vessel. It was not a crewman I saw."
491,KIRK,"Yeoman Rand, how long was this Green with you?"
492,RAND,"As long as he, it thought it could get to the salt on my tray, sir."
493,KIRK,Mister Spock?
494,SPOCK,"Supplies of salt have been set out as bait at all decks and engineering levels, Captain. However, no one or nothing has approached them as yet."
495,KIRK,Dr. McCoy?
496,MCCOY,Yes?
497,KIRK,"Medical department report, Doctor."
498,MCCOY,"Oh. Well, we could offer it salt without tricks. There's no reason for it to attack us."
499,SPOCK,"Your attitude is laudable, Doctor, but your reasoning is reckless."
500,CRATER,The creature is not dangerous when fed.
501,MCCOY,"No, it's simply trying to survive by using its natural ability to take other forms."
502,CRATER,"The way the chameleon uses its protective colouring, an ability retained no doubt from its primitive state, the way we have retained our incisor teeth. They were once fangs. Certain of our muscles were designed for chase. It uses its ability the way we would use our muscles and teeth if necessary, to stay alive."
503,MCCOY,"And like us, it's an intelligent animal. There's no need to hunt it down."
504,SPOCK,"A very interesting hypothesis, Doctor. Briefing room."
505,KIRK,"Thank you, Lieutenant. Continue the search. Crater, we don't know who or what we're looking for. We need your help, and now."
506,CRATER,"I demanded, I even begged that you get off my planet."
507,KIRK,"Can you recognise this thing When you see it? Professor, I'll forego charges up to this point but this creature's aboard my ship and I'll have it, or I'll have your skin, or both. Now where is it?"
508,CRATER,I loved Nancy very much. Few women like my Nancy. She lives in my dreams. She walks and sings in them.
509,KIRK,And it becomes Nancy for you.
510,CRATER,"Not because of tricks. It doesn't trick me. It needs love as much as it needs salt. When it killed Nancy, I almost destroyed it but, it isn't just a beast. It is intelligent and the last of its kind."
511,KIRK,"You bleed too much, Crater. You're too pure and noble. Are you saving the last of its kind or has this become Crater's private heaven, here on this planet? This thing becomes wife, lover, best friend, wise man, fool, idol, slave. It isn't a bad life to have everyone in the universe at your beck and call, and you win all the arguments."
512,CRATER,You don't understand.
513,KIRK,Have you learned to see this thing in whatever form it becomes?
514,CRATER,Yes.
515,KIRK,Are you going to help us find it?
516,CRATER,"Sorry, I can't."
517,SPOCK,"Recommend we use truth serum, Captain."
518,KIRK,Doctor?
519,MCCOY,"Well, I resist using it, but in this case the professor will give us the truth."
520,KIRK,Take him.
521,SPOCK,"I'll accompany you, Doctor."
522,MCCOY,"Oh, yes. Of course."
523,CREWMAN,Captain Kirk to dispensary. Captain Kirk to dispensary.
524,SPOCK,It wasn't McCoy. It was the creature. It hit me. Crater grabbed my phaser. I wondered about McCoy. Doubt had crossed my mind.
525,RAND,Captain. Professor Crater.
526,KIRK,"Dead. But it had you, too."
527,SPOCK,"Fortunately, my ancestors spawned in another ocean than yours did. My blood cells are quite different."
528,NANCY,"Leonard. Leonard, wake up. Please help me. Help me, Leonard. They're trying to kill me. Don't let them kill me!"
529,MCCOY,"Easy, easy. Nobodies going to"
530,NANCY,But you must help me!
531,KIRK,"Move aside, Bones."
532,MCCOY,"What's going on here, Jim?"
533,KIRK,"She's not Nancy, Bones."
534,MCCOY,Are you insane?
535,KIRK,It killed four crewmen. Now Crater.
536,MCCOY,It?
537,KIRK,"The creature. It kills. It needs salt to live. Bones, move aside."
538,MCCOY,No!
539,KIRK,"My guess is she needs more. You want it, Nancy? Come and get it."
540,MCCOY,"You're frightening her, Jim."
541,KIRK,Not fright. Hunger. Look at her.
542,NANCY,"Leonard, if you love me, make him go away."
543,KIRK,"Come on. You want this, Nancy? Come on Nancy. Come and get it. Come and get it. Here it is."
544,NANCY,"Leonard, help me."
545,MCCOY,"Stop it, Jim!"
546,KIRK,"McCoy, get out of the way!"
547,MCCOY,Are you out of your mind?
548,KIRK,Get out of the way.
549,SPOCK,"It's killing the Captain. Shoot it, Doctor, quickly!"
550,MCCOY,No! No!
551,SPOCK,"&nbsp;It's killing the captain! Shoot, quick!"
552,MCCOY,I won't shoot Nancy.
553,SPOCK,"This is not Nancy.  If she were Nancy, could she take this?"
554,MCCOY,"Stop it! Stop it, Spock! Stop it!"
555,SPOCK,"Is that Nancy, Doctor?"
556,MCCOY,No.  No!
557,NANCY,"Leonard. Leonard, no. Leonard, please."
558,MCCOY,"Lord, forgive me."
559,KIRK,"I'm sorry, Bones.&nbsp;"
560,SULU,"Ready to leave orbit, Captain."
561,SPOCK,"Something wrong, Captain?"
562,KIRK,"I was thinking about the buffalo, Mister Spock. Warp one, Mister Sulu."
563,SULU,"Warp one, sir. Leaving orbit."
564,RAMART,This is my navigator Tom Nellis.
565,KIRK,How do you do?
566,NELLIS,How do you do?
567,RAMART,"And this is our young castaway Charlie, Charlie Evans. His dossier."
568,KIRK,Mister Evans. We've heard a great deal about you. Welcome aboard.
569,RAMART,"Wonderful boy, Charlie. Its been an honour having him aboard."
570,NELLIS,"Why, it's been a great pleasure. The things that he's learned in the last"
571,RAMART,"Absolutely. To think this boy spent practically his whole life alone on that planet. Everyone killed, just a few microtapes to learn from."
572,CHARLIE,How many humans like me on this ship?
573,RAMART,"Like a whole city in space, Charlie. Over four hundred in the crew of a starship, aren't there, Captain?"
574,KIRK,"Four hundred and twenty eight, to be exact. Is there anything we can do for you, Captain? Medical supplies, provisions?"
575,CHARLIE,"Hundreds. All human, like me. That's exciting. Is that the right word?"
576,NELLIS,That's perfect. It's the exact word.
577,RAMART,"You see. We'd like to keep Charlie with us, but with his closest living relatives on Colony Five and your vessel going that way, why"
578,CHARLIE,I'd like to see your ship now. All of it. The people and everything.
