Speaker,Dialogue
UHURA,"Negative, Captain. I've checked every face on this vessel. It"
KIRK,"Yeoman Rand, how long was this Green with you?"
RAND,"As long as he, it thought it could get to the salt on my tray,"
KIRK,Mister Spock?
SPOCK,Supplies of salt have been set out as bait at all decks and
KIRK,Dr. McCoy?
MCCOY,Yes?
KIRK,"Medical department report, Doctor."
MCCOY,"Oh. Well, we could offer it salt without tricks. There's no"
SPOCK,"Your attitude is laudable, Doctor, but your reasoning is"
CRATER, The creature is not dangerous when
MCCOY,"No, it's simply trying to survive by using its natural ability"
CRATER,"The way the chameleon uses its protective colouring, an ability"
MCCOY,"And like us, it's an intelligent animal. There's no need to hunt"
SPOCK,"A very interesting hypothesis, Doctor. Briefing room."
KIRK,"Thank you, Lieutenant. Continue the search. Crater, we don't know"
CRATER,"I demanded, I even begged that you get off my planet."
KIRK,"Can you recognise this thing When you see it? Professor, I'll"
CRATER,I loved Nancy very much. Few women like my Nancy. She lives in
KIRK,And it becomes Nancy for you.
CRATER,Not because of tricks. It doesn't trick me. It needs love as
KIRK,"You bleed too much, Crater. You're too pure and noble. Are you"
CRATER,You don't understand.
KIRK,Have you learned to see this thing in whatever form it becomes?
CRATER,Yes.
KIRK,Are you going to help us find it?
CRATER,"Sorry, I can't."
SPOCK,"Recommend we use truth serum, Captain."
KIRK,Doctor?
MCCOY,"Well, I resist using it, but in this case the professor will"
KIRK,Take him.
SPOCK,"I'll accompany you, Doctor."
MCCOY,"Oh, yes. Of course."
SPOCK, It wasn't McCoy. It was the creature. It hit me.
RAND,Captain. Professor Crater.
KIRK,"Dead. But it had you, too."
SPOCK,"Fortunately, my ancestors spawned in another ocean than yours"
NANCY,"Leonard. Leonard, wake up. Please help me. Help me, Leonard."
MCCOY,"Easy, easy. Nobodies going to"
NANCY,But you must help me!
KIRK,"Move aside, Bones."
MCCOY,"What's going on here, Jim?"
KIRK,"She's not Nancy, Bones."
MCCOY,Are you insane?
KIRK,It killed four crewmen. Now Crater.
MCCOY,It?
KIRK,"The creature. It kills. It needs salt to live. Bones, move aside."
MCCOY,No!
KIRK,"My guess is she needs more. You want it, Nancy? Come and get it."
MCCOY,"You're frightening her, Jim."
KIRK,Not fright. Hunger. Look at her.
NANCY,"Leonard, if you love me, make him go away."
KIRK,"Come on. You want this, Nancy? Come on Nancy. Come and get it."
NANCY,"Leonard, help me."
MCCOY,"Stop it, Jim!"
KIRK,"McCoy, get out of the way!"
MCCOY,Are you out of your mind?
KIRK,Get out of the way. (McCoy and Kirk struggle for the phaser while
SPOCK,"It's killing the Captain. Shoot it, Doctor, quickly!"
MCCOY,No! No! 
MCCOY,I won't shoot Nancy.
SPOCK,"This is not Nancy.  If she were Nancy,"
MCCOY,"Stop it! Stop it, Spock! Stop it! (Nancy sends Spock flying with"
SPOCK,"Is that Nancy, Doctor?"
MCCOY,No.  No! (She transforms into her
NANCY,"Leonard. Leonard, no. Leonard, please."
MCCOY,"Lord, forgive me. "
KIRK,"I'm sorry, Bones."
SULU,"Ready to leave orbit, Captain."
SPOCK,"Something wrong, Captain?"
KIRK,"I was thinking about the buffalo, Mister Spock. Warp one, Mister"
SULU,"Warp one, sir. Leaving orbit."
Original Airdate,"15 Sep, 1966"
KIRK,"All right, Chief, begin materialisation."
RAMART,This is my navigator Tom Nellis.
KIRK,How do you do?
NELLIS,How do you do?
RAMART,"And this is our young castaway Charlie, Charlie Evans. His"
KIRK,Mister Evans. We've heard a great deal about you. Welcome aboard.
RAMART,"Wonderful boy, Charlie. Its been an honour having him aboard."
NELLIS,"Why, it's been a great pleasure. The things that he's learned"
in the last RAMART,Absolutely. To think this boy spent practically his whole life
CHARLIE,How many humans like me on this ship?
RAMART,"Like a whole city in space, Charlie. Over four hundred in the"
KIRK,"Four hundred and twenty eight, to be exact. Is there anything we"
CHARLIE,"Hundreds. All human, like me. That's exciting. Is that the"
NELLIS,That's perfect. It's the exact word.
RAMART,"You see. We'd like to keep Charlie with us, but with his"
why CHARLIE,I'd like to see your ship now. All of it. The people and
KIRK,"You keep interrupting, Mister Evans. That's considered wrong."
CHARLIE,I'm sorry.
KIRK,"We have a large supply of entertainment tapes, gentlemen."
RAMART,"No, we've a tight schedule to make, Captain. Just twenty of us,"
KIRK,This must be a space first. A transport ship that doesn't need
RAMART,Nothing.
KIRK,Not even Sarian brandy?
RAMART,"We're fine, thank you. Pleasant journey, Captain."
KIRK,Thank you. 
KIRK,"Yeoman Rand, this is Charles Evans. Show him to his quarters and"
RAND,"Yes, sir. Come with me, please."
CHARLIE,Are you a girl? Is that a girl?
KIRK,That's a girl.
MCCOY,Tell me. The ship's supply of food
CHARLIE,"After that I found other things to eat, just growing around."
MCCOY,And you learned to talk by just listening to the ship's tapes?
CHARLIE,"The memory banks still worked. They talked to me, and I talked"
MCCOY,You're four-oh.
CHARLIE,Four?
MCCOY,Four-oh. One hundred percent. Sound of wind and limb.
CHARLIE,"That, that Captain. Kirk?"
MCCOY,Yeah.
CHARLIE,Why does he call me Mister Evans?
MCCOY,Because that's your name.
CHARLIE,"He's not, well, he isn't like Captain Ramart."
MCCOY,"Well, no. Captain Kirk is one of a kind, Charlie."
CHARLIE,Do you like me?
MCCOY,Why not?
CHARLIE,"Some, the other ship, they didn't like me. I tried. I'm trying"
MCCOY,"Most seventeen year olds do. Come on, let's go. I'll show you to"
CHARLIE,I brought you a present.
RAND,"Oh, thank you. I really appreciate it, but, but I have to go. I'm"
CHARLIE,Do you like that kind?
RAND,"Yes, I, it's my favourite. Where did you get it? They don't have"
CHARLIE,It's a present.
RAND,"I know, but where did? Gee, I'm late, Charlie. I really have to"
CHARLIE,Can't you stay and talk a little while?
RAND,"Look, I'm off duty at fourteen hundred. Why don't you join me in"
CHARLIE,"You got a deal, friend. "
RAND,Charlie!
CHARLIE,"I thought. Don't be angry. I didn't, I wanted."
RAND,"Charlie, you, you, you just don't go around slapping girls on"
CHARLIE,Don't be angry.
RAND,"Look, why don't you tell Captain Kirk or Doctor McCoy what you"
CHARLIE,I will.
RAND,Okay.
MCCOY,"But tell me, what reason would he have to"
SPOCK,That is a very intriguing question. Scanners show no
KIRK,"Good. Doctor McCoy, Mister Spock is working out"
UHURA,"Excuse me, Captain. Status report."
KIRK,Thank you. He's working out a training programme for Charlie
MCCOY,"Well, don't you think it'd be better for a strong father image"
KIRK,"The job is yours, Bones. Flattery will get you nowhere."
SPOCK,"Doctor, didn't the boy make any reference at all to Thasians?"
KIRK,"Do you believe the legend, Mister Spock, that Thasians still"
SPOCK,Charlie's very existence proves in fact there must be some
MCCOY,"By which time he would have been eating fruits, vegetables."
SPOCK,Probes of Thasus indicate very little edible plant life.
MCCOY,"And probes have been known to be wrong, Spock."
MCCOY,"Doctor, are you speaking scientifically or emotionally?"
KIRK,"Gentlemen, the fact is the boy is here and he's alive and he"
MCCOY,"And he needs a guide and he needs a father image, Jim."
KIRK,Hmm. I'll depend on your astute abilities to supply him with
UHURA,"I'm sorry. I did it again, didn't I."
UHURA," Oh, on the starship Enterprise"
RAND,One more time!
UHURA," Now from a planet out in space, there comes a lad, not"
CHARLIE,Want to see something?  Turn them
RAND,"Well, how did you do that?"
CHARLIE,"Oh, I can do a lot of card tricks. One of the men on the"
RAND,I don't believe this!
KIRK,"On Earth today, it's Thanksgiving. If the"
CHARLIE,Captain? I'm supposed to ask you something. Why shouldn't I? I
KIRK,"Say it right out, Charlie. That usually works."
CHARLIE,"Well, in the corridor I saw. When Janice, when Yeoman Rand"
KIRK,"Me. I see. Well, um, er, there are things you can do with a lady,"
CHARLIE,I don't know.
KIRK,Excuse me. Kirk here.
KIRK,I'm on my way to the Bridge now.
CHARLIE,Can I come with you?
KIRK,"I don't think so, Charlie."
CHARLIE,I won't get in the way.
KIRK,Okay.
UHURA,"Can you boost your power, Antares. We're"
KIRK,"Kirk here, Captain Ramart."
ve got to warn KIRK,Re-establish contact.
UHURA,They're not transmitting.
KIRK,Keep trying.
CHARLIE,It wasn't very well constructed.
KIRK,Sweep the area of the Antares transmission with our probe
SPOCK,"Affirmative, Captain."
KIRK,"You think something happened to the Antares, Charlie?"
CHARLIE,I don't know.
SPOCK,"Picking up some debris on our scanners, Captain."
KIRK,What about the Antares?
SPOCK,The debris is what's left of the Antares.
KIRK,Kirk here.
KIRK,"Chief, have you been"
SPOCK,"Your mind is not on the game, Captain. Check. The Antares?"
KIRK,"A survey ship with twenty men aboard lost. No reason. Obviously,"
SPOCK,My own concern is more immediate. The boy.
KIRK,"I can usually follow you, Mister Spock, but this time?"
SPOCK,He seemed to know what happened to the Antares before we did.
KIRK,"I'd call it a pretty long reach for evidence, Mister Spock. Come"
SPOCK,"And again, check."
KIRK,Checkmate.
SPOCK,Your illogical approach to chess does have its advantages on
KIRK,I prefer to call it inspired.
SPOCK,"As you wish. At any rate, the game is yours."
KIRK,"You play chess, Charlie?"
CHARLIE,"Oh, I, I watched them play on the Antares. Can I try?"
KIRK,I place you in the hands of our chess master.
SPOCK,The principles of three-dimensional chess are basically
CHARLIE,I know what it is. Let's play.
SPOCK,"Very well.  That was a mistake, Charlie."
CHARLIE,"No, it wasn't."
SPOCK,Checkmate.
CHARLIE,"No, it isn't."
SPOCK,If you'll excuse me.
RAND,"Oh, Charlie. I was looking for you. I'd like"
TINA,"Hello, Charlie."
RAND,I thought you might enjoy meeting someone your own age.
CHARLIE,"Can I talk to you, alone."
RAND,"Charlie, Tina's"
TINA,Excuse me. I must be wanted somewhere.
RAND,"That was, that was rude and completely uncalled-for."
CHARLIE,But I don't need her. I want to talk to you.
RAND,That's no excuse. You'd better learn that right now. You have to
CHARLIE,But she's not as. She doesn't. She's not the same. Not like
KIRK,What?
RAND,"I wasn't sure I should, er, talk to you about this."
KIRK,Charlie's a seventeen year old boy.
RAND,"Exactly, and he's"
KIRK,I talked to him about the swat.
RAND,"It's not that. Captain, I've seen the look before, and if"
and his first KIRK,"Yes, Yeoman, I'll talk to him. I'll look into it."
RAND,"Thank you, sir."
KIRK,"Come in, Charlie. Er, Charlie. Charlie, do"
CHARLIE,"No, sir. Is that all?"
KIRK,"Er, no. No, no. Sit down. Charlie, being seventeen is more than"
CHARLIE,"Oh, I won't hit her like that anymore."
KIRK,"No, there's more to it than that."
CHARLIE,"Everything I do or say is wrong. I'm in the way, I don't know"
KIRK,"Now wait, wait."
CHARLIE,"I don't know what I am or what I'm supposed to be, or even"
KIRK,"You'll live, believe me. There's nothing wrong with you that"
CHARLIE,What if you care for someone? What do you do?
KIRK,"You go slow. You be gentle. I mean, it's not a one-way street,"
CHARLIE,You don't think Janice. You. She could love me!
KIRK,"She's not the girl, Charlie. The years are wrong, for one thing,"
CHARLIE,She can.
KIRK,"No, Charlie."
CHARLIE,She is.
KIRK,No.
CHARLIE,But if I did what you said! If I was gentle!
KIRK,"Charlie, there are a million things in this universe you can have"
CHARLIE,Then what am I going to do?
KIRK,Hang on tight and survive. Everybody does.
CHARLIE,You don't.
KIRK,"Everybody, Charlie. Me, too."
CHARLIE,"I'm trying, but I don't know how."
KIRK,Kirk here.
KIRK,"Ask Mister Spock to see to it. Charlie, come on with me."
KIRK,You've got to slap the floor to absorb the
CHARLIE,I don't want to do that.
KIRK,"Well, it makes it hard to teach you"
CHARLIE,I don't want to do that.
KIRK,"All right, Charlie. Lesson's over for today."
CHARLIE,You were going to teach me how to fight.
KIRK,You have to learn to protect yourself in a fall before I do that.
SAM,Right.
KIRK,"Watch this, Charlie. That wasn't so bad, was it? Now I'll throw"
CHARLIE,That looks hard.
SAM,Oh.
KIRK,"Come on, Charlie. Try it. Attaboy. Let's go."
CHARLIE,Oh!
KIRK,"That wasn't so bad, was it?"
CHARLIE,Don't laugh at me.
KIRK,Cool off.
CHARLIE,Don't laugh at me!
KIRK,Charlie.
CHARLIE,He shouldn't have done that. It's not nice to laugh at people.
KIRK,"What happened to him, Charlie?"
CHARLIE,He's gone.
KIRK,That's no answer.
CHARLIE,He's gone! I didn't mean to do that. He made me do it! He
KIRK,"Kirk here. Two men from security, on the double."
CHARLIE,What are you going to do to me?
KIRK,I'm confining you to quarters. I want you to stay there.
CHARLIE,"I won't let them hurt me. I'll make them go away, too."
KIRK,"They won't hurt you, Charlie.  They'll take you"
CHARLIE,No! 
KIRK,Go to your quarters.
CHARLIE,He was going to hurt me.
KIRK,Go to your quarters or I'll pick you up and carry you there.
CHARLIE,I won't let you.
KIRK,"That's your choice, Charlie."
CHARLIE,I won't let them hurt me.
KIRK,They won't hurt you.
KIRK,Kirk here.
KIRK,"No, I heard you. Have Doctor McCoy and Mister Spock meet me in"
SPOCK,Thasians have been referred to in our
KIRK,"What are chances that Charlie's not an Earthling, that he's a"
